id,time,x,y
dynamic,1740,1.5708e+11,5.046e+07
planet,1800,1.496e+11,5.3604e+07
dynamic,1800,1.5708e+11,5.22e+07
planet,1860,1.496e+11,5.53908e+07
dynamic,1860,1.5708e+11,5.394e+07
planet,1920,1.496e+11,5.71776e+07
dynamic,1920,1.5708e+11,5.568e+07
planet,1980,1.496e+11,5.89644e+07
dynamic,1980,1.5708e+11,5.742e+07
planet,2040,1.496e+11,6.07512e+07
dynamic,2040,1.5708e+11,5.916e+07
planet,2100,1.496e+11,6.2538e+07
dynamic,2100,1.5708e+11,6.09e+07
planet,2160,1.496e+11,6.43248e+07
dynamic,2160,1.5708e+11,6.264e+07
planet,2220,1.496e+11,6.61116e+07
dynamic,2220,1.5708e+11,6.438e+07
planet,2280,1.496e+11,6.78984e+07
dynamic,2280,1.5708e+11,6.612e+07
planet,2340,1.496e+11,6.96852e+07
dynamic,2340,1.5708e+11,6.786e+07
planet,2400,1.496e+11,7.1472e+07
dynamic,2400,1.5708e+11,6.96e+07
planet,2460,1.496e+11,7.32588e+07
dynamic,2460,1.5708e+11,7.134e+07
planet,2520,1.496e+11,7.50456e+07
dynamic,2520,1.5708e+11,7.308e+07
planet,2580,1.496e+11,7.68324e+07
dynamic,2580,1.5708e+11,7.482e+07
planet,2640,1.496e+11,7.86192e+07
dynamic,2640,1.5708e+11,7.656e+07
planet,2700,1.496e+11,8.0406e+07
dynamic,2700,1.5708e+11,7.83e+07
planet,2760,1.496e+11,8.21928e+07
dynamic,2760,1.5708e+11,8.004e+07
planet,2820,1.496e+11,8.39796e+07
dynamic,2820,1.5708e+11,8.178e+07
planet,2880,1.496e+11,8.57664e+07
dynamic,2880,1.5708e+11,8.352e+07
planet,2940,1.496e+11,8.75532e+07
dynamic,2940,1.5708e+11,8.526e+07
planet,3000,1.496e+11,8.934e+07
dynamic,3000,1.5708e+11,8.7e+07
planet,3060,1.496e+11,9.11268e+07
dynamic,3060,1.5708e+11,8.874e+07
planet,3120,1.496e+11,9.29136e+07
dynamic,3120,1.5708e+11,9.048e+07
planet,3180,1.496e+11,9.47004e+07
